rank,prev_rank,name,league,off,def,spi
1,1,Bayern Munich,German Bundesliga,3.45,0.39,94.04
2,2,Manchester City,Barclays Premier League,2.87,0.26,92.71
3,4,Barcelona,Spanish Primera Division,2.88,0.45,89.88
4,3,Paris Saint-Germain,French Ligue 1,2.96,0.5,89.63
5,6,Real Madrid,Spanish Primera Division,2.64,0.41,88.53
6,5,Liverpool,Barclays Premier League,2.74,0.52,87.67
7,9,Borussia Dortmund,German Bundesliga,2.45,0.4,86.95
8,7,Atletico Madrid,Spanish Primera Division,2.35,0.37,86.49
9,11,Chelsea,Barclays Premier League,2.42,0.48,85.19
10,10,Internazionale,Italy Serie A,2.63,0.6,85.16
11,8,RB Leipzig,German Bundesliga,2.42,0.5,84.65
12,12,Manchester United,Barclays Premier League,2.44,0.53,84.41
13,15,Napoli,Italy Serie A,2.21,0.52,81.87
14,13,Sevilla FC,Spanish Primera Division,2.02,0.42,81.53
15,19,FC Salzburg,Austrian T-Mobile Bundesliga,2.94,0.99,81.41
16,18,Real Sociedad,Spanish Primera Division,2.04,0.45,81.11
17,17,AC Milan,Italy Serie A,2.35,0.64,81.08
18,14,Juventus,Italy Serie A,2.34,0.64,80.92
19,16,Tottenham Hotspur,Barclays Premier League,2.27,0.62,80.41
20,20,Atalanta,Italy Serie A,2.49,0.79,79.77
21,22,Arsenal,Barclays Premier League,2.13,0.56,79.73
22,36,Ajax,Dutch Eredivisie,2.73,0.97,79.25
23,21,Leicester City,Barclays Premier League,2.14,0.6,79.12
24,23,Bayer Leverkusen,German Bundesliga,2.08,0.6,78.32
25,26,Benfica,Portuguese Liga,2.3,0.79,77.33
26,29,Villarreal,Spanish Primera Division,2.13,0.68,77.14
27,25,Borussia Monchengladbach,German Bundesliga,2.23,0.76,76.8
28,28,Lyon,French Ligue 1,2.1,0.69,76.58
29,32,Wolverhampton,Barclays Premier League,1.83,0.53,76.13
30,27,Everton,Barclays Premier League,2.08,0.7,75.99
31,33,Getafe,Spanish Primera Division,1.72,0.48,75.39
32,24,Zenit St Petersburg,Russian Premier Liga,2.09,0.73,75.37
33,30,Shakhtar Donetsk,UEFA Champions League,2.38,0.95,74.93
34,34,AS Roma,Italy Serie A,2.22,0.85,74.8
35,35,Olympiacos,Greek Super League,2.01,0.71,74.62
36,37,West Ham United,Barclays Premier League,2.05,0.75,74.36
37,31,FC Porto,Portuguese Liga,2.15,0.82,74.36
38,40,TSG Hoffenheim,German Bundesliga,2.23,0.88,74.22
39,41,Southampton,Barclays Premier League,1.98,0.71,74.16
40,38,Lille,French Ligue 1,1.88,0.64,74.11
41,39,Eintracht Frankfurt,German Bundesliga,2.09,0.84,72.84
42,43,VfL Wolfsburg,German Bundesliga,1.91,0.75,72.17
43,42,Granada,Spanish Primera Division,1.81,0.68,71.94
44,44,Real Betis,Spanish Primera Division,1.89,0.74,71.84
45,47,Aston Villa,Barclays Premier League,2.0,0.85,71.23
46,50,Flamengo,Brasileiro Série A,2.03,0.88,71.11
47,49,Celta Vigo,Spanish Primera Division,1.76,0.68,71.05
48,45,Brighton and Hove Albion,Barclays Premier League,1.91,0.79,71.01
49,51,Athletic Bilbao,Spanish Primera Division,1.73,0.66,70.87
50,48,Lazio,Italy Serie A,1.99,0.91,69.75
51,58,CSKA Moscow,Russian Premier Liga,1.83,0.8,69.48
52,52,Osasuna,Spanish Primera Division,1.73,0.73,69.19
53,54,Leeds United,Barclays Premier League,1.92,0.89,68.84
54,46,Club Brugge,Belgian Jupiler League,1.99,0.95,68.64
55,61,Cadiz,Spanish Primera Division,1.67,0.72,68.42
56,55,AS Monaco,French Ligue 1,1.98,0.97,67.93
57,53,Fiorentina,Italy Serie A,1.91,0.93,67.74
58,57,Hertha Berlin,German Bundesliga,1.97,0.98,67.67
59,64,Sheffield United,Barclays Premier League,1.66,0.75,67.39
